transaction_id,item,quantity,price_per_unit,total_spent,payment_method,location,transaction_date,province,date,day,month,year,day_of_week,season,is_holiday
TXN_3931766,Salad,2.0,9.0,18.0,Cash,In-store,2023-11-06,British Columbia,2023-11-06,6,11,2023,Monday,fall,False
TXN_9245780,Coffee,2.0,3.5,7.0,Credit Card,Takeaway,2023-09-27,Newfoundland,2023-09-27,27,9,2023,Wednesday,fall,False
TXN_7394986,Tea,1.0,3.0,3.0,Credit Card,Takeaway,2023-09-28,Manitoba,2023-09-28,28,9,2023,Thursday,fall,False
TXN_8428537,Refresher,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-08-03,Manitoba,2023-08-03,3,8,2023,Thursday,summer,False
TXN_2204968,Cookie,2.0,2.5,5.0,Digital Wallet,Takeaway,2023-07-27,Manitoba,2023-07-27,27,7,2023,Thursday,summer,False
TXN_9005253,Donut,2.0,2.0,4.0,Digital Wallet,Takeaway,2023-02-22,British Columbia,2023-02-22,22,2,2023,Wednesday,winter,False
TXN_9500426,Coffee,1.0,3.5,3.5,Digital Wallet,In-store,2023-02-10,British Columbia,2023-02-10,10,2,2023,Friday,winter,False
TXN_5218291,Salad,2.0,9.0,18.0,Credit Card,Takeaway,2023-10-28,Newfoundland,2023-10-28,28,10,2023,Saturday,fall,False
TXN_9232871,Coffee,1.0,3.5,3.5,Credit Card,Takeaway,2023-11-23,Manitoba,2023-11-23,23,11,2023,Thursday,fall,False
TXN_8266509,Coffee,1.0,3.5,3.5,Digital Wallet,In-store,2023-03-22,British Columbia,2023-03-22,22,3,2023,Wednesday,spring,False
TXN_6678690,Coffee,1.0,3.5,3.5,Credit Card,In-store,2023-10-16,British Columbia,2023-10-16,16,10,2023,Monday,fall,False
TXN_6235589,Refresher,1.0,5.0,5.0,Credit Card,In-store,2023-11-24,British Columbia,2023-11-24,24,11,2023,Friday,fall,False
TXN_9358048,Refresher,1.0,5.0,5.0,Cash,Takeaway,2023-08-15,Manitoba,2023-08-15,15,8,2023,Tuesday,summer,False
TXN_3151562,Tea,3.0,3.0,9.0,Credit Card,In-store,2023-08-06,British Columbia,2023-08-06,6,8,2023,Sunday,summer,False
TXN_3590618,Coffee,1.0,3.5,3.5,Digital Wallet,Takeaway,2023-12-25,Newfoundland,2023-12-25,25,12,2023,Monday,winter,True
TXN_8193261,Cookie,2.0,2.5,5.0,Digital Wallet,Takeaway,2023-07-26,Manitoba,2023-07-26,26,7,2023,Wednesday,summer,False
TXN_2289497,Sandwich,4.0,8.0,32.0,Cash,In-store,2023-06-28,Newfoundland,2023-06-28,28,6,2023,Wednesday,summer,False
TXN_1248168,Donut,1.0,2.0,2.0,Cash,In-store,2023-04-06,British Columbia,2023-04-06,6,4,2023,Thursday,spring,False
TXN_8963295,Coffee,3.0,3.5,10.5,Cash,In-store,2023-06-20,British Columbia,2023-06-20,20,6,2023,Tuesday,summer,False
TXN_5751734,Tea,1.0,3.0,3.0,Cash,Takeaway,2023-01-13,Saskatchewan,2023-01-13,13,1,2023,Friday,winter,False
TXN_4132394,Tea,1.0,3.0,3.0,Credit Card,Takeaway,2023-07-06,British Columbia,2023-07-06,6,7,2023,Thursday,summer,False
TXN_4982991,Coffee,2.0,3.5,7.0,Cash,Takeaway,2023-02-14,British Columbia,2023-02-14,14,2,2023,Tuesday,winter,False
TXN_1837374,Coffee,1.0,3.5,3.5,Credit Card,Takeaway,2023-04-18,British Columbia,2023-04-18,18,4,2023,Tuesday,spring,False
TXN_4663825,Coffee,4.0,3.5,14.0,Credit Card,In-store,2023-12-14,British Columbia,2023-12-14,14,12,2023,Thursday,winter,False
TXN_6345379,Tea,2.0,3.0,6.0,Credit Card,In-store,2023-10-10,Saskatchewan,2023-10-10,10,10,2023,Tuesday,fall,False
TXN_8586689,Refresher,2.0,5.0,10.0,Cash,In-store,2023-04-26,British Columbia,2023-04-26,26,4,2023,Wednesday,spring,False
TXN_4743432,Refresher,1.0,5.0,5.0,Digital Wallet,In-store,2023-09-16,British Columbia,2023-09-16,16,9,2023,Saturday,fall,False
TXN_4754173,Refresher,2.0,5.0,10.0,Digital Wallet,In-store,2023-08-13,British Columbia,2023-08-13,13,8,2023,Sunday,summer,False
TXN_6626622,Refresher,2.0,5.0,10.0,Cash,In-store,2023-06-21,Saskatchewan,2023-06-21,21,6,2023,Wednesday,summer,False
TXN_8994578,Tea,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-04-06,Newfoundland,2023-04-06,6,4,2023,Thursday,spring,False
TXN_2573241,Sandwich,1.0,8.0,8.0,Digital Wallet,Takeaway,2023-06-29,British Columbia,2023-06-29,29,6,2023,Thursday,summer,False
TXN_2616859,Refresher,2.0,5.0,10.0,Cash,In-store,2023-02-21,British Columbia,2023-02-21,21,2,2023,Tuesday,winter,False
TXN_5160311,Sandwich,1.0,8.0,8.0,Digital Wallet,Takeaway,2023-04-23,Newfoundland,2023-04-23,23,4,2023,Sunday,spring,False
TXN_5971356,Sandwich,1.0,8.0,8.0,Credit Card,Takeaway,2023-01-02,British Columbia,2023-01-02,2,1,2023,Monday,winter,True
TXN_7197961,Coffee,4.0,3.5,14.0,Cash,Takeaway,2023-02-23,Manitoba,2023-02-23,23,2,2023,Thursday,winter,False
TXN_6076612,Tea,2.0,3.0,6.0,Credit Card,In-store,2023-05-06,British Columbia,2023-05-06,6,5,2023,Saturday,spring,False
TXN_8840502,Tea,1.0,3.0,3.0,Digital Wallet,Takeaway,2023-06-21,Newfoundland,2023-06-21,21,6,2023,Wednesday,summer,False
TXN_9895486,Tea,1.0,3.0,3.0,Digital Wallet,Takeaway,2023-07-17,British Columbia,2023-07-17,17,7,2023,Monday,summer,False
TXN_3493044,Coffee,1.0,3.5,3.5,Digital Wallet,In-store,2023-11-20,Manitoba,2023-11-20,20,11,2023,Monday,fall,False
TXN_5866528,Refresher,1.0,5.0,5.0,Cash,Takeaway,2023-07-03,Manitoba,2023-07-03,3,7,2023,Monday,summer,False
TXN_8233147,Coffee,1.0,3.5,3.5,Digital Wallet,Takeaway,2023-11-21,Manitoba,2023-11-21,21,11,2023,Tuesday,fall,False
TXN_6185896,Coffee,1.0,3.5,3.5,Digital Wallet,Takeaway,2023-07-17,Manitoba,2023-07-17,17,7,2023,Monday,summer,False
TXN_9634493,Coffee,1.0,3.5,3.5,Credit Card,In-store,2023-07-18,Saskatchewan,2023-07-18,18,7,2023,Tuesday,summer,False
TXN_2776963,Coffee,3.0,3.5,10.5,Cash,In-store,2023-05-08,British Columbia,2023-05-08,8,5,2023,Monday,spring,False
TXN_7900440,Tea,1.0,3.0,3.0,Digital Wallet,Takeaway,2023-12-26,Manitoba,2023-12-26,26,12,2023,Tuesday,winter,False
TXN_3765855,Sandwich,3.0,8.0,24.0,Credit Card,In-store,2023-05-31,British Columbia,2023-05-31,31,5,2023,Wednesday,spring,False
TXN_8492365,Tea,1.0,3.0,3.0,Digital Wallet,In-store,2023-10-25,Saskatchewan,2023-10-25,25,10,2023,Wednesday,fall,False
TXN_6901502,Tea,3.0,3.0,9.0,Credit Card,In-store,2023-03-01,Saskatchewan,2023-03-01,1,3,2023,Wednesday,spring,False
TXN_2665309,Juice,3.0,4.5,13.5,Cash,In-store,2023-04-26,Newfoundland,2023-04-26,26,4,2023,Wednesday,spring,False
TXN_9962527,Coffee,2.0,3.5,7.0,Cash,In-store,2023-04-14,Manitoba,2023-04-14,14,4,2023,Friday,spring,False
TXN_2621276,Cookie,2.0,2.5,5.0,Credit Card,In-store,2023-12-04,Saskatchewan,2023-12-04,4,12,2023,Monday,winter,False
TXN_1187862,Juice,2.0,4.5,9.0,Digital Wallet,Takeaway,2023-06-12,Newfoundland,2023-06-12,12,6,2023,Monday,summer,False
TXN_7102605,Coffee,1.0,3.5,3.5,Cash,In-store,2023-06-18,Saskatchewan,2023-06-18,18,6,2023,Sunday,summer,False
TXN_2369289,Refresher,2.0,5.0,10.0,Cash,In-store,2023-03-09,Saskatchewan,2023-03-09,9,3,2023,Thursday,spring,False
TXN_8401414,Cookie,2.0,2.5,5.0,Credit Card,In-store,2023-10-04,British Columbia,2023-10-04,4,10,2023,Wednesday,fall,False
TXN_4252727,Donut,2.0,2.0,4.0,Digital Wallet,Takeaway,2023-05-08,British Columbia,2023-05-08,8,5,2023,Monday,spring,False
TXN_7972505,Coffee,2.0,3.5,7.0,Cash,In-store,2023-01-22,British Columbia,2023-01-22,22,1,2023,Sunday,winter,False
TXN_7236579,Coffee,1.0,3.5,3.5,Digital Wallet,In-store,2023-10-10,Saskatchewan,2023-10-10,10,10,2023,Tuesday,fall,False
TXN_6636734,Tea,2.0,3.0,6.0,Credit Card,In-store,2023-10-04,British Columbia,2023-10-04,4,10,2023,Wednesday,fall,False
TXN_9096026,Sandwich,4.0,8.0,32.0,Cash,Takeaway,2023-10-11,Manitoba,2023-10-11,11,10,2023,Wednesday,fall,False
TXN_2343928,Cookie,3.0,2.5,7.5,Credit Card,Takeaway,2023-11-13,British Columbia,2023-11-13,13,11,2023,Monday,fall,False
TXN_8358107,Tea,1.0,3.0,3.0,Cash,In-store,2023-01-04,British Columbia,2023-01-04,4,1,2023,Wednesday,winter,False
TXN_5455837,Tea,1.0,3.0,3.0,Digital Wallet,In-store,2023-02-18,British Columbia,2023-02-18,18,2,2023,Saturday,winter,False
TXN_8926326,Donut,1.0,2.0,2.0,Digital Wallet,In-store,2023-04-26,British Columbia,2023-04-26,26,4,2023,Wednesday,spring,False
TXN_6260282,Sandwich,1.0,8.0,8.0,Credit Card,Takeaway,2023-05-08,British Columbia,2023-05-08,8,5,2023,Monday,spring,False
TXN_7565504,Coffee,4.0,3.5,14.0,Digital Wallet,In-store,2023-12-08,British Columbia,2023-12-08,8,12,2023,Friday,winter,False
TXN_6509641,Sandwich,4.0,8.0,32.0,Credit Card,In-store,2023-10-26,Newfoundland,2023-10-26,26,10,2023,Thursday,fall,False
TXN_9246141,Tea,3.0,3.0,9.0,Cash,In-store,2023-02-08,Newfoundland,2023-02-08,8,2,2023,Wednesday,winter,False
TXN_4018282,Cookie,1.0,2.5,2.5,Digital Wallet,Takeaway,2023-09-04,British Columbia,2023-09-04,4,9,2023,Monday,fall,True
TXN_3865220,Coffee,1.0,3.5,3.5,Digital Wallet,In-store,2023-01-13,British Columbia,2023-01-13,13,1,2023,Friday,winter,False
TXN_2120648,Coffee,2.0,3.5,7.0,Credit Card,In-store,2023-11-09,British Columbia,2023-11-09,9,11,2023,Thursday,fall,False
TXN_5560706,Tea,2.0,3.0,6.0,Credit Card,Takeaway,2023-01-20,Newfoundland,2023-01-20,20,1,2023,Friday,winter,False
TXN_7519821,Donut,2.0,2.0,4.0,Digital Wallet,In-store,2023-12-08,Saskatchewan,2023-12-08,8,12,2023,Friday,winter,False
TXN_8130166,Refresher,3.0,5.0,15.0,Digital Wallet,Takeaway,2023-07-05,Newfoundland,2023-07-05,5,7,2023,Wednesday,summer,False
TXN_6924215,Sandwich,2.0,8.0,16.0,Digital Wallet,In-store,2023-06-29,Newfoundland,2023-06-29,29,6,2023,Thursday,summer,False
TXN_7578726,Tea,3.0,3.0,9.0,Credit Card,In-store,2023-09-28,Newfoundland,2023-09-28,28,9,2023,Thursday,fall,False
TXN_4212438,Sandwich,1.0,8.0,8.0,Digital Wallet,Takeaway,2023-04-11,Newfoundland,2023-04-11,11,4,2023,Tuesday,spring,False
TXN_3282901,Cookie,2.0,2.5,5.0,Credit Card,In-store,2023-02-22,Newfoundland,2023-02-22,22,2,2023,Wednesday,winter,False
TXN_6740250,Salad,1.0,9.0,9.0,Cash,Takeaway,2023-04-18,Manitoba,2023-04-18,18,4,2023,Tuesday,spring,False
TXN_1764868,Sandwich,1.0,8.0,8.0,Credit Card,In-store,2023-11-07,Newfoundland,2023-11-07,7,11,2023,Tuesday,fall,False
TXN_8485452,Refresher,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-11-15,Manitoba,2023-11-15,15,11,2023,Wednesday,fall,False
TXN_6988985,Tea,5.0,3.0,15.0,Credit Card,In-store,2023-02-27,Manitoba,2023-02-27,27,2,2023,Monday,winter,False
TXN_3372487,Juice,4.0,4.5,18.0,Cash,In-store,2023-05-09,Manitoba,2023-05-09,9,5,2023,Tuesday,spring,False
TXN_7897261,Donut,1.0,2.0,2.0,Cash,In-store,2023-04-06,Newfoundland,2023-04-06,6,4,2023,Thursday,spring,False
TXN_5624535,Sandwich,1.0,8.0,8.0,Cash,In-store,2023-02-17,British Columbia,2023-02-17,17,2,2023,Friday,winter,False
TXN_6907107,Donut,2.0,2.0,4.0,Cash,In-store,2023-08-25,Newfoundland,2023-08-25,25,8,2023,Friday,summer,False
TXN_6051406,Cookie,2.0,2.5,5.0,Credit Card,In-store,2023-07-11,British Columbia,2023-07-11,11,7,2023,Tuesday,summer,False
TXN_6891821,Coffee,2.0,3.5,7.0,Credit Card,In-store,2023-10-05,Newfoundland,2023-10-05,5,10,2023,Thursday,fall,False
TXN_6089028,Donut,3.0,2.0,6.0,Digital Wallet,Takeaway,2023-03-17,British Columbia,2023-03-17,17,3,2023,Friday,spring,False
TXN_2754587,Juice,2.0,4.5,9.0,Cash,In-store,2023-03-27,Newfoundland,2023-03-27,27,3,2023,Monday,spring,False
TXN_3869649,Coffee,2.0,3.5,7.0,Credit Card,In-store,2023-08-08,British Columbia,2023-08-08,8,8,2023,Tuesday,summer,False
TXN_5581077,Coffee,1.0,3.5,3.5,Credit Card,In-store,2023-07-23,Newfoundland,2023-07-23,23,7,2023,Sunday,summer,False
TXN_6830485,Donut,2.0,2.0,4.0,Cash,In-store,2023-12-07,British Columbia,2023-12-07,7,12,2023,Thursday,winter,False
TXN_5390544,Tea,2.0,3.0,6.0,Credit Card,In-store,2023-10-16,British Columbia,2023-10-16,16,10,2023,Monday,fall,False
TXN_4885270,Donut,1.0,2.0,2.0,Credit Card,In-store,2023-08-11,British Columbia,2023-08-11,11,8,2023,Friday,summer,False
TXN_1115903,Coffee,2.0,3.5,7.0,Credit Card,In-store,2023-09-14,Newfoundland,2023-09-14,14,9,2023,Thursday,fall,False
TXN_3190928,Refresher,1.0,5.0,5.0,Credit Card,In-store,2023-06-01,British Columbia,2023-06-01,1,6,2023,Thursday,summer,False
TXN_3273772,Tea,2.0,3.0,6.0,Credit Card,In-store,2023-09-25,British Columbia,2023-09-25,25,9,2023,Monday,fall,False
TXN_6311265,Refresher,2.0,5.0,10.0,Cash,In-store,2023-02-13,British Columbia,2023-02-13,13,2,2023,Monday,winter,False
TXN_9375989,Cookie,4.0,2.5,10.0,Credit Card,In-store,2023-01-12,Manitoba,2023-01-12,12,1,2023,Thursday,winter,False
TXN_6583982,Coffee,2.0,3.5,7.0,Credit Card,In-store,2023-09-10,Saskatchewan,2023-09-10,10,9,2023,Sunday,fall,True
TXN_2973135,Donut,3.0,2.0,6.0,Credit Card,In-store,2023-03-31,Newfoundland,2023-03-31,31,3,2023,Friday,spring,False
TXN_7220842,Cookie,2.0,2.5,5.0,Digital Wallet,Takeaway,2023-03-31,British Columbia,2023-03-31,31,3,2023,Friday,spring,False
TXN_6822557,Cookie,1.0,2.5,2.5,Digital Wallet,In-store,2023-04-25,British Columbia,2023-04-25,25,4,2023,Tuesday,spring,False
TXN_8265951,Donut,1.0,2.0,2.0,Cash,In-store,2023-04-06,Manitoba,2023-04-06,6,4,2023,Thursday,spring,False
TXN_4805229,Sandwich,1.0,8.0,8.0,Cash,In-store,2023-09-25,Newfoundland,2023-09-25,25,9,2023,Monday,fall,False
TXN_2067508,Donut,2.0,2.0,4.0,Cash,In-store,2023-01-13,Saskatchewan,2023-01-13,13,1,2023,Friday,winter,False
TXN_7248388,Coffee,2.0,3.5,7.0,Digital Wallet,Takeaway,2023-12-21,Manitoba,2023-12-21,21,12,2023,Thursday,winter,False
TXN_2418113,Refresher,1.0,5.0,5.0,Credit Card,Takeaway,2023-01-19,Newfoundland,2023-01-19,19,1,2023,Thursday,winter,False
TXN_8746246,Coffee,3.0,3.5,10.5,Digital Wallet,In-store,2023-09-22,Newfoundland,2023-09-22,22,9,2023,Friday,fall,False
TXN_1957801,Tea,3.0,3.0,9.0,Cash,In-store,2023-07-25,British Columbia,2023-07-25,25,7,2023,Tuesday,summer,False
TXN_7753481,Cookie,3.0,2.5,7.5,Digital Wallet,In-store,2023-02-21,Manitoba,2023-02-21,21,2,2023,Tuesday,winter,False
TXN_4726259,Tea,4.0,3.0,12.0,Cash,In-store,2023-05-24,Manitoba,2023-05-24,24,5,2023,Wednesday,spring,False
TXN_2819648,Coffee,1.0,3.5,3.5,Cash,In-store,2023-02-26,Manitoba,2023-02-26,26,2,2023,Sunday,winter,False
TXN_6210703,Sandwich,3.0,8.0,24.0,Cash,In-store,2023-06-30,British Columbia,2023-06-30,30,6,2023,Friday,summer,False
TXN_7016879,Sandwich,2.0,8.0,16.0,Credit Card,In-store,2023-08-11,Newfoundland,2023-08-11,11,8,2023,Friday,summer,False
TXN_8158862,Refresher,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-08-27,British Columbia,2023-08-27,27,8,2023,Sunday,summer,False
TXN_7899688,Tea,1.0,3.0,3.0,Credit Card,In-store,2023-06-23,British Columbia,2023-06-23,23,6,2023,Friday,summer,False
TXN_8834750,Cookie,2.0,2.5,5.0,Credit Card,Takeaway,2023-06-19,British Columbia,2023-06-19,19,6,2023,Monday,summer,False
TXN_4009665,Tea,3.0,3.0,9.0,Cash,In-store,2023-01-05,Newfoundland,2023-01-05,5,1,2023,Thursday,winter,False
TXN_9791415,Coffee,1.0,3.5,3.5,Cash,In-store,2023-10-19,Manitoba,2023-10-19,19,10,2023,Thursday,fall,False
TXN_2926180,Donut,2.0,2.0,4.0,Credit Card,In-store,2023-02-08,British Columbia,2023-02-08,8,2,2023,Wednesday,winter,False
TXN_1468262,Coffee,3.0,3.5,10.5,Digital Wallet,In-store,2023-06-22,Newfoundland,2023-06-22,22,6,2023,Thursday,summer,False
TXN_1045008,Coffee,3.0,3.5,10.5,Digital Wallet,In-store,2023-08-08,British Columbia,2023-08-08,8,8,2023,Tuesday,summer,False
TXN_2443237,Donut,2.0,2.0,4.0,Digital Wallet,In-store,2023-05-28,British Columbia,2023-05-28,28,5,2023,Sunday,spring,False
TXN_2625896,Salad,1.0,9.0,9.0,Digital Wallet,In-store,2023-07-10,British Columbia,2023-07-10,10,7,2023,Monday,summer,False
TXN_1324220,Coffee,2.0,3.5,7.0,Cash,In-store,2023-11-08,Manitoba,2023-11-08,8,11,2023,Wednesday,fall,False
TXN_1574569,Refresher,2.0,5.0,10.0,Digital Wallet,In-store,2023-06-22,Newfoundland,2023-06-22,22,6,2023,Thursday,summer,False
TXN_4367664,Coffee,4.0,3.5,14.0,Credit Card,In-store,2023-05-29,Newfoundland,2023-05-29,29,5,2023,Monday,spring,False
TXN_5347507,Coffee,2.0,3.5,7.0,Credit Card,In-store,2023-08-17,Manitoba,2023-08-17,17,8,2023,Thursday,summer,False
TXN_1765248,Coffee,5.0,3.5,17.5,Digital Wallet,In-store,2023-06-05,British Columbia,2023-06-05,5,6,2023,Monday,summer,False
TXN_2559479,Coffee,1.0,3.5,3.5,Digital Wallet,Takeaway,2023-05-02,Manitoba,2023-05-02,2,5,2023,Tuesday,spring,False
TXN_8901297,Sandwich,2.0,8.0,16.0,Digital Wallet,In-store,2023-08-08,Manitoba,2023-08-08,8,8,2023,Tuesday,summer,False
TXN_2763067,Tea,1.0,3.0,3.0,Cash,In-store,2023-05-25,British Columbia,2023-05-25,25,5,2023,Thursday,spring,False
TXN_8089381,Refresher,1.0,5.0,5.0,Cash,In-store,2023-07-31,British Columbia,2023-07-31,31,7,2023,Monday,summer,False
TXN_4347910,Donut,4.0,2.0,8.0,Digital Wallet,Takeaway,2023-08-28,Manitoba,2023-08-28,28,8,2023,Monday,summer,False
TXN_7859306,Coffee,2.0,3.5,7.0,Digital Wallet,Takeaway,2023-02-15,Saskatchewan,2023-02-15,15,2,2023,Wednesday,winter,False
TXN_1705277,Coffee,1.0,3.5,3.5,Credit Card,Takeaway,2023-03-23,Manitoba,2023-03-23,23,3,2023,Thursday,spring,False
TXN_7413531,Tea,1.0,3.0,3.0,Credit Card,In-store,2023-08-30,Newfoundland,2023-08-30,30,8,2023,Wednesday,summer,False
TXN_4067224,Tea,1.0,3.0,3.0,Digital Wallet,In-store,2023-01-05,Saskatchewan,2023-01-05,5,1,2023,Thursday,winter,False
TXN_9483452,Tea,2.0,3.0,6.0,Credit Card,In-store,2023-06-26,Saskatchewan,2023-06-26,26,6,2023,Monday,summer,False
TXN_6606933,Donut,1.0,2.0,2.0,Digital Wallet,Takeaway,2023-10-09,Newfoundland,2023-10-09,9,10,2023,Monday,fall,False
TXN_8452223,Sandwich,3.0,8.0,24.0,Credit Card,In-store,2023-04-08,Newfoundland,2023-04-08,8,4,2023,Saturday,spring,False
TXN_4133543,Cookie,2.0,2.5,5.0,Digital Wallet,Takeaway,2023-03-24,British Columbia,2023-03-24,24,3,2023,Friday,spring,False
TXN_1068089,Cookie,1.0,2.5,2.5,Cash,In-store,2023-03-19,Saskatchewan,2023-03-19,19,3,2023,Sunday,spring,False
TXN_1001580,Tea,1.0,3.0,3.0,Digital Wallet,Takeaway,2023-07-24,Saskatchewan,2023-07-24,24,7,2023,Monday,summer,False
TXN_7801097,Coffee,2.0,3.5,7.0,Credit Card,In-store,2023-10-15,British Columbia,2023-10-15,15,10,2023,Sunday,fall,False
TXN_1635153,Donut,1.0,2.0,2.0,Credit Card,In-store,2023-04-05,Newfoundland,2023-04-05,5,4,2023,Wednesday,spring,False
TXN_1281086,Coffee,2.0,3.5,7.0,Cash,In-store,2023-04-13,British Columbia,2023-04-13,13,4,2023,Thursday,spring,False
TXN_3155502,Coffee,4.0,3.5,14.0,Credit Card,Takeaway,2023-11-02,Newfoundland,2023-11-02,2,11,2023,Thursday,fall,False
TXN_9885316,Donut,1.0,2.0,2.0,Digital Wallet,Takeaway,2023-10-13,British Columbia,2023-10-13,13,10,2023,Friday,fall,False
TXN_6160820,Cookie,3.0,2.5,7.5,Digital Wallet,In-store,2023-09-04,British Columbia,2023-09-04,4,9,2023,Monday,fall,True
TXN_9885018,Coffee,1.0,3.5,3.5,Credit Card,In-store,2023-12-06,Manitoba,2023-12-06,6,12,2023,Wednesday,winter,False
TXN_9916920,Refresher,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-02-03,British Columbia,2023-02-03,3,2,2023,Friday,winter,False
TXN_3111086,Juice,1.0,4.5,4.5,Cash,In-store,2023-07-24,British Columbia,2023-07-24,24,7,2023,Monday,summer,False
TXN_6240129,Donut,4.0,2.0,8.0,Digital Wallet,Takeaway,2023-04-21,British Columbia,2023-04-21,21,4,2023,Friday,spring,False
TXN_6511694,Tea,1.0,3.0,3.0,Credit Card,In-store,2023-12-18,British Columbia,2023-12-18,18,12,2023,Monday,winter,False
TXN_2481046,Donut,2.0,2.0,4.0,Credit Card,In-store,2023-03-02,British Columbia,2023-03-02,2,3,2023,Thursday,spring,False
TXN_2308979,Coffee,1.0,3.5,3.5,Cash,In-store,2023-01-22,Saskatchewan,2023-01-22,22,1,2023,Sunday,winter,False
TXN_4246772,Refresher,3.0,5.0,15.0,Credit Card,In-store,2023-01-12,Newfoundland,2023-01-12,12,1,2023,Thursday,winter,False
TXN_5273582,Coffee,1.0,3.5,3.5,Digital Wallet,Takeaway,2023-03-14,Newfoundland,2023-03-14,14,3,2023,Tuesday,spring,False
TXN_6580570,Coffee,3.0,3.5,10.5,Digital Wallet,Takeaway,2023-02-16,Saskatchewan,2023-02-16,16,2,2023,Thursday,winter,False
TXN_5279022,Cookie,2.0,2.5,5.0,Credit Card,In-store,2023-06-29,British Columbia,2023-06-29,29,6,2023,Thursday,summer,False
TXN_1758212,Cookie,4.0,2.5,10.0,Digital Wallet,In-store,2023-12-31,Manitoba,2023-12-31,31,12,2023,Sunday,winter,False
TXN_6681210,Juice,2.0,4.5,9.0,Credit Card,Takeaway,2023-07-06,Manitoba,2023-07-06,6,7,2023,Thursday,summer,False
TXN_8351592,Juice,1.0,4.5,4.5,Credit Card,In-store,2023-08-15,British Columbia,2023-08-15,15,8,2023,Tuesday,summer,False
TXN_8046304,Sandwich,1.0,8.0,8.0,Credit Card,In-store,2023-07-11,Newfoundland,2023-07-11,11,7,2023,Tuesday,summer,False
TXN_8237700,Coffee,1.0,3.5,3.5,Cash,In-store,2023-09-30,Saskatchewan,2023-09-30,30,9,2023,Saturday,fall,True
TXN_5803990,Sandwich,2.0,8.0,16.0,Cash,In-store,2023-05-06,Manitoba,2023-05-06,6,5,2023,Saturday,spring,False
TXN_4302573,Tea,1.0,3.0,3.0,Credit Card,Takeaway,2023-05-25,British Columbia,2023-05-25,25,5,2023,Thursday,spring,False
