source_row_number,transaction_id,item,quantity,price_per_unit,total_spent,payment_method,location,transaction_date,transaction_month,weekday_name,day_type,province,duplicate_transaction_id_flag,missing_date_flag,item_imputed_flag,quantity_repaired_flag,price_per_unit_repaired_flag,total_spent_repaired_flag,unknown_payment_flag,unknown_location_flag,unknown_province_flag,revenue_mismatch_flag,item_price_mismatch_flag
13,TXN_9297177,Coffee,2,3.5,7.0,Credit Card,In-store,2023-07-07,2023-07,Friday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
14,TXN_7630300,Cookie,1,2.5,2.5,Credit Card,In-store,2023-07-09,2023-07,Sunday,Weekend,British Columbia,False,False,False,False,False,False,False,False,False,False,False
15,TXN_4023020,Tea,4,3.0,12.0,Digital Wallet,Takeaway,2023-02-20,2023-02,Monday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
16,TXN_2950053,Cookie,3,2.5,7.5,Digital Wallet,Takeaway,2023-09-01,2023-09,Friday,Weekday,Saskatchewan,False,False,False,False,False,False,False,False,False,False,False
17,TXN_7999686,Tea,1,3.0,3.0,Credit Card,In-store,2023-05-15,2023-05,Monday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
18,TXN_6567119,Donut,2,2.0,4.0,Credit Card,In-store,2023-06-16,2023-06,Friday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
19,TXN_7290247,Coffee,1,3.5,3.5,Credit Card,In-store,2023-08-30,2023-08,Wednesday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
20,TXN_8998040,Donut,4,2.0,8.0,Credit Card,Takeaway,2023-12-12,2023-12,Tuesday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
21,TXN_3380759,Tea,2,3.0,6.0,Cash,In-store,2023-12-06,2023-12,Wednesday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
22,TXN_9258216,Juice,1,4.5,4.5,Cash,In-store,2023-09-21,2023-09,Thursday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
23,TXN_7815208,Cookie,1,2.5,2.5,Digital Wallet,In-store,,,,,Newfoundland and Labrador,False,True,False,False,False,False,False,False,False,False,False
24,TXN_7971324,Tea,5,3.0,15.0,Digital Wallet,In-store,2023-01-02,2023-01,Monday,Weekday,Saskatchewan,False,False,False,False,False,False,False,False,False,False,False
25,TXN_8454386,Coffee,2,3.5,7.0,Digital Wallet,Takeaway,2023-02-23,2023-02,Thursday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
26,TXN_3931766,Salad,2,9.0,18.0,Cash,In-store,2023-11-06,2023-11,Monday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
27,TXN_9245780,Coffee,2,3.5,7.0,Credit Card,Takeaway,2023-09-27,2023-09,Wednesday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
28,TXN_7394986,Tea,1,3.0,3.0,Credit Card,Takeaway,2023-09-28,2023-09,Thursday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
29,TXN_8428537,Refresher,1,5.0,5.0,Digital Wallet,Takeaway,2023-08-03,2023-08,Thursday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
30,TXN_2204968,Cookie,2,2.5,5.0,Digital Wallet,Takeaway,2023-07-27,2023-07,Thursday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
31,TXN_9005253,Donut,2,2.0,4.0,Digital Wallet,Takeaway,2023-02-22,2023-02,Wednesday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
32,TXN_9500426,Coffee,1,3.5,3.5,Digital Wallet,In-store,2023-02-10,2023-02,Friday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
33,TXN_5218291,Salad,2,9.0,18.0,Credit Card,Takeaway,2023-10-28,2023-10,Saturday,Weekend,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
34,TXN_9232871,Coffee,1,3.5,3.5,Credit Card,Takeaway,2023-11-23,2023-11,Thursday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
35,TXN_5137655,Coffee,4,3.5,14.0,Unknown Payment,Unknown Location,2023-05-09,2023-05,Tuesday,Weekday,Manitoba,False,False,False,False,False,False,True,True,False,False,False
36,TXN_8266509,Coffee,1,3.5,3.5,Digital Wallet,In-store,2023-03-22,2023-03,Wednesday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
37,TXN_6678690,Coffee,1,3.5,3.5,Credit Card,In-store,2023-10-16,2023-10,Monday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
38,TXN_6235589,Refresher,1,5.0,5.0,Credit Card,In-store,2023-11-24,2023-11,Friday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
39,TXN_6264127,Donut,1,2.0,2.0,Credit Card,In-store,2023-02-02,2023-02,Thursday,Weekday,Unknown Province,False,False,False,False,False,False,False,False,True,False,False
40,TXN_3174000,Sandwich,1,8.0,8.0,Credit Card,In-store,2023-03-03,2023-03,Friday,Weekday,Manitoba,False,False,False,True,False,False,False,False,False,False,False
41,TXN_9358048,Refresher,1,5.0,5.0,Cash,Takeaway,2023-08-15,2023-08,Tuesday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
42,TXN_3151562,Tea,3,3.0,9.0,Credit Card,In-store,2023-08-06,2023-08,Sunday,Weekend,British Columbia,False,False,False,False,False,False,False,False,False,False,False
43,TXN_3590618,Coffee,1,3.5,3.5,Digital Wallet,Takeaway,2023-12-25,2023-12,Monday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
44,TXN_8193261,Cookie,2,2.5,5.0,Digital Wallet,Takeaway,2023-07-26,2023-07,Wednesday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
45,TXN_2289497,Sandwich,4,8.0,32.0,Cash,In-store,2023-06-28,2023-06,Wednesday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
46,TXN_1248168,Donut,1,2.0,2.0,Cash,In-store,2023-04-06,2023-04,Thursday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
47,TXN_8963295,Coffee,3,3.5,10.5,Cash,In-store,2023-06-20,2023-06,Tuesday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
48,TXN_5751734,Tea,1,3.0,3.0,Cash,Takeaway,2023-01-13,2023-01,Friday,Weekday,Saskatchewan,False,False,False,False,False,False,False,False,False,False,False
49,TXN_4132394,Tea,1,3.0,3.0,Credit Card,Takeaway,2023-07-06,2023-07,Thursday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
50,TXN_4982991,Coffee,2,3.5,7.0,Cash,Takeaway,2023-02-14,2023-02,Tuesday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
51,TXN_1837374,Coffee,1,3.5,3.5,Credit Card,Takeaway,2023-04-18,2023-04,Tuesday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
52,TXN_4663825,Coffee,4,3.5,14.0,Credit Card,In-store,2023-12-14,2023-12,Thursday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
53,TXN_9671923,Donut,1,2.0,2.0,Credit Card,Unknown Location,2023-07-09,2023-07,Sunday,Weekend,Manitoba,False,False,False,False,False,False,False,True,False,False,False
54,TXN_6345379,Tea,2,3.0,6.0,Credit Card,In-store,2023-10-10,2023-10,Tuesday,Weekday,Saskatchewan,False,False,False,False,False,False,False,False,False,False,False
55,TXN_8586689,Refresher,2,5.0,10.0,Cash,In-store,2023-04-26,2023-04,Wednesday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
56,TXN_4743432,Refresher,1,5.0,5.0,Digital Wallet,In-store,2023-09-16,2023-09,Saturday,Weekend,British Columbia,False,False,False,False,False,False,False,False,False,False,False
57,TXN_9299675,Sandwich,3,8.0,24.0,Digital Wallet,Unknown Location,2023-05-17,2023-05,Wednesday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,True,False,False,False
58,TXN_4754173,Refresher,2,5.0,10.0,Digital Wallet,In-store,2023-08-13,2023-08,Sunday,Weekend,British Columbia,False,False,False,False,False,False,False,False,False,False,False
59,TXN_6626622,Refresher,2,5.0,10.0,Cash,In-store,2023-06-21,2023-06,Wednesday,Weekday,Saskatchewan,False,False,False,False,False,False,False,False,False,False,False
60,TXN_8994578,Tea,3,3.0,9.0,Digital Wallet,Takeaway,2023-04-06,2023-04,Thursday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
61,TXN_2573241,Sandwich,1,8.0,8.0,Digital Wallet,Takeaway,2023-06-29,2023-06,Thursday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
62,TXN_2616859,Refresher,2,5.0,10.0,Cash,In-store,2023-02-21,2023-02,Tuesday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
63,TXN_5160311,Sandwich,1,8.0,8.0,Digital Wallet,Takeaway,2023-04-23,2023-04,Sunday,Weekend,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
64,TXN_7857240,Coffee,1,3.5,3.5,Credit Card,In-store,,,,,British Columbia,False,True,False,False,False,False,False,False,False,False,False
65,TXN_5971356,Sandwich,1,8.0,8.0,Credit Card,Takeaway,2023-01-02,2023-01,Monday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
66,TXN_7197961,Coffee,4,3.5,14.0,Cash,Takeaway,2023-02-23,2023-02,Thursday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
67,TXN_6076612,Tea,2,3.0,6.0,Credit Card,In-store,2023-05-06,2023-05,Saturday,Weekend,British Columbia,False,False,False,False,False,False,False,False,False,False,False
68,TXN_8840502,Tea,1,3.0,3.0,Digital Wallet,Takeaway,2023-06-21,2023-06,Wednesday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
69,TXN_9895486,Tea,1,3.0,3.0,Digital Wallet,Takeaway,2023-07-17,2023-07,Monday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
70,TXN_3493044,Coffee,1,3.5,3.5,Digital Wallet,In-store,2023-11-20,2023-11,Monday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
71,TXN_5866528,Refresher,1,5.0,5.0,Cash,Takeaway,2023-07-03,2023-07,Monday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
72,TXN_8233147,Coffee,1,3.5,3.5,Digital Wallet,Takeaway,2023-11-21,2023-11,Tuesday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
73,TXN_6185896,Coffee,1,3.5,3.5,Digital Wallet,Takeaway,2023-07-17,2023-07,Monday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
74,TXN_4204740,Coffee,1,3.5,3.5,Credit Card,Unknown Location,2023-07-20,2023-07,Thursday,Weekday,Unknown Province,False,False,False,False,False,False,False,True,True,False,False
75,TXN_1839747,Donut,2,2.0,4.0,Cash,Unknown Location,2023-11-22,2023-11,Wednesday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,True,False,False,False
76,TXN_1942500,Refresher,4,5.0,20.0,Credit Card,In-store,2023-12-12,2023-12,Tuesday,Weekday,Unknown Province,False,False,False,False,False,False,False,False,True,False,False
77,TXN_9634493,Coffee,1,3.5,3.5,Credit Card,In-store,2023-07-18,2023-07,Tuesday,Weekday,Saskatchewan,False,False,False,False,False,False,False,False,False,False,False
78,TXN_2776963,Coffee,3,3.5,10.5,Cash,In-store,2023-05-08,2023-05,Monday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
79,TXN_7900440,Tea,1,3.0,3.0,Digital Wallet,Takeaway,2023-12-26,2023-12,Tuesday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
80,TXN_3765855,Sandwich,3,8.0,24.0,Credit Card,In-store,2023-05-31,2023-05,Wednesday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
81,TXN_8492365,Tea,1,3.0,3.0,Digital Wallet,In-store,2023-10-25,2023-10,Wednesday,Weekday,Saskatchewan,False,False,False,False,False,False,False,False,False,False,False
82,TXN_3396634,Tea,3,3.0,9.0,Unknown Payment,In-store,2023-09-09,2023-09,Saturday,Weekend,British Columbia,False,False,False,False,False,False,True,False,False,False,False
83,TXN_6901502,Tea,3,3.0,9.0,Credit Card,In-store,2023-03-01,2023-03,Wednesday,Weekday,Saskatchewan,False,False,False,False,False,False,False,False,False,False,False
84,TXN_9358343,Coffee,3,3.5,10.5,Unknown Payment,In-store,2023-01-09,2023-01,Monday,Weekday,British Columbia,False,False,False,False,False,False,True,False,False,False,False
85,TXN_2665309,Juice,3,4.5,13.5,Cash,In-store,2023-04-26,2023-04,Wednesday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
86,TXN_9962527,Coffee,2,3.5,7.0,Cash,In-store,2023-04-14,2023-04,Friday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
87,TXN_5219124,Tea,1,3.0,3.0,Unknown Payment,Unknown Location,2023-08-15,2023-08,Tuesday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,True,True,False,False,False
88,TXN_2621276,Cookie,2,2.5,5.0,Credit Card,In-store,2023-12-04,2023-12,Monday,Weekday,Saskatchewan,False,False,False,False,False,False,False,False,False,False,False
89,TXN_1187862,Juice,2,4.5,9.0,Digital Wallet,Takeaway,2023-06-12,2023-06,Monday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
90,TXN_7102605,Coffee,1,3.5,3.5,Cash,In-store,2023-06-18,2023-06,Sunday,Weekend,Saskatchewan,False,False,False,False,False,False,False,False,False,False,False
91,TXN_2369289,Refresher,2,5.0,10.0,Cash,In-store,2023-03-09,2023-03,Thursday,Weekday,Saskatchewan,False,False,False,False,False,False,False,False,False,False,False
92,TXN_8401414,Cookie,2,2.5,5.0,Credit Card,In-store,2023-10-04,2023-10,Wednesday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
93,TXN_4388592,Coffee,1,3.5,3.5,Digital Wallet,Takeaway,2023-05-15,2023-05,Monday,Weekday,Manitoba,False,False,False,True,False,False,False,False,False,False,False
94,TXN_4252727,Donut,2,2.0,4.0,Digital Wallet,Takeaway,2023-05-08,2023-05,Monday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
95,TXN_7972505,Coffee,2,3.5,7.0,Cash,In-store,2023-01-22,2023-01,Sunday,Weekend,British Columbia,False,False,False,False,False,False,False,False,False,False,False
96,TXN_7236579,Coffee,1,3.5,3.5,Digital Wallet,In-store,2023-10-10,2023-10,Tuesday,Weekday,Saskatchewan,False,False,False,False,False,False,False,False,False,False,False
97,TXN_6636734,Tea,2,3.0,6.0,Credit Card,In-store,2023-10-04,2023-10,Wednesday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
98,TXN_9096026,Sandwich,4,8.0,32.0,Cash,Takeaway,2023-10-11,2023-10,Wednesday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
99,TXN_2343928,Cookie,3,2.5,7.5,Credit Card,Takeaway,2023-11-13,2023-11,Monday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
100,TXN_8358107,Tea,1,3.0,3.0,Cash,In-store,2023-01-04,2023-01,Wednesday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
101,TXN_5455837,Tea,1,3.0,3.0,Digital Wallet,In-store,2023-02-18,2023-02,Saturday,Weekend,British Columbia,False,False,False,False,False,False,False,False,False,False,False
102,TXN_8926326,Donut,1,2.0,2.0,Digital Wallet,In-store,2023-04-26,2023-04,Wednesday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
103,TXN_6260282,Sandwich,1,8.0,8.0,Credit Card,Takeaway,2023-05-08,2023-05,Monday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
104,TXN_8303272,Cookie,1,2.5,2.5,Cash,In-store,2023-10-07,2023-10,Saturday,Weekend,Unknown Province,False,False,False,False,False,False,False,False,True,False,False
105,TXN_7565504,Coffee,4,3.5,14.0,Digital Wallet,In-store,2023-12-08,2023-12,Friday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
106,TXN_6509641,Sandwich,4,8.0,32.0,Credit Card,In-store,2023-10-26,2023-10,Thursday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
107,TXN_9246141,Tea,3,3.0,9.0,Cash,In-store,2023-02-08,2023-02,Wednesday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
108,TXN_4018282,Cookie,1,2.5,2.5,Digital Wallet,Takeaway,2023-09-04,2023-09,Monday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
109,TXN_3865220,Coffee,1,3.5,3.5,Digital Wallet,In-store,2023-01-13,2023-01,Friday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
110,TXN_2120648,Coffee,2,3.5,7.0,Credit Card,In-store,2023-11-09,2023-11,Thursday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
111,TXN_5560706,Tea,2,3.0,6.0,Credit Card,Takeaway,2023-01-20,2023-01,Friday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
112,TXN_5176763,Juice,2,4.5,9.0,Cash,In-store,2023-05-23,2023-05,Tuesday,Weekday,Saskatchewan,False,False,True,False,False,False,False,False,False,False,False
113,TXN_7519821,Donut,2,2.0,4.0,Digital Wallet,In-store,2023-12-08,2023-12,Friday,Weekday,Saskatchewan,False,False,False,False,False,False,False,False,False,False,False
114,TXN_8130166,Refresher,3,5.0,15.0,Digital Wallet,Takeaway,2023-07-05,2023-07,Wednesday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
115,TXN_5385028,Coffee,3,3.5,10.5,Digital Wallet,Unknown Location,2023-02-27,2023-02,Monday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,True,False,False,False
116,TXN_6924215,Sandwich,2,8.0,16.0,Digital Wallet,In-store,2023-06-29,2023-06,Thursday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
117,TXN_7578726,Tea,3,3.0,9.0,Credit Card,In-store,2023-09-28,2023-09,Thursday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
118,TXN_4212438,Sandwich,1,8.0,8.0,Digital Wallet,Takeaway,2023-04-11,2023-04,Tuesday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
119,TXN_3282901,Cookie,2,2.5,5.0,Credit Card,In-store,2023-02-22,2023-02,Wednesday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
120,TXN_6740250,Salad,1,9.0,9.0,Cash,Takeaway,2023-04-18,2023-04,Tuesday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
121,TXN_1764868,Sandwich,1,8.0,8.0,Credit Card,In-store,2023-11-07,2023-11,Tuesday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
122,TXN_1576243,Sandwich,1,8.0,8.0,Unknown Payment,Unknown Location,2023-05-04,2023-05,Thursday,Weekday,Saskatchewan,False,False,False,False,False,False,True,True,False,False,False
123,TXN_8485452,Refresher,1,5.0,5.0,Digital Wallet,Takeaway,2023-11-15,2023-11,Wednesday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
124,TXN_6988985,Tea,5,3.0,15.0,Credit Card,In-store,2023-02-27,2023-02,Monday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
125,TXN_2029245,Juice,1,4.5,4.5,Credit Card,Unknown Location,2023-08-17,2023-08,Thursday,Weekday,Saskatchewan,False,False,False,False,False,False,False,True,False,False,False
126,TXN_3372487,Juice,4,4.5,18.0,Cash,In-store,2023-05-09,2023-05,Tuesday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
127,TXN_7897261,Donut,1,2.0,2.0,Cash,In-store,2023-04-06,2023-04,Thursday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
128,TXN_5624535,Sandwich,1,8.0,8.0,Cash,In-store,2023-02-17,2023-02,Friday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
129,TXN_6907107,Donut,2,2.0,4.0,Cash,In-store,2023-08-25,2023-08,Friday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
130,TXN_5651592,Coffee,1,3.5,3.5,Unknown Payment,In-store,2023-09-29,2023-09,Friday,Weekday,British Columbia,False,False,False,False,False,False,True,False,False,False,False
131,TXN_6051406,Cookie,2,2.5,5.0,Credit Card,In-store,2023-07-11,2023-07,Tuesday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
132,TXN_6891821,Coffee,2,3.5,7.0,Credit Card,In-store,2023-10-05,2023-10,Thursday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
133,TXN_6089028,Donut,3,2.0,6.0,Digital Wallet,Takeaway,2023-03-17,2023-03,Friday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
134,TXN_2754587,Juice,2,4.5,9.0,Cash,In-store,2023-03-27,2023-03,Monday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
135,TXN_3869649,Coffee,2,3.5,7.0,Credit Card,In-store,2023-08-08,2023-08,Tuesday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
136,TXN_5581077,Coffee,1,3.5,3.5,Credit Card,In-store,2023-07-23,2023-07,Sunday,Weekend,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
137,TXN_6830485,Donut,2,2.0,4.0,Cash,In-store,2023-12-07,2023-12,Thursday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
138,TXN_5390544,Tea,2,3.0,6.0,Credit Card,In-store,2023-10-16,2023-10,Monday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
139,TXN_8704173,Tea,1,3.0,3.0,Cash,In-store,2023-04-10,2023-04,Monday,Weekday,Unknown Province,False,False,False,False,False,False,False,False,True,False,False
140,TXN_4885270,Donut,1,2.0,2.0,Credit Card,In-store,2023-08-11,2023-08,Friday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
141,TXN_1115903,Coffee,2,3.5,7.0,Credit Card,In-store,2023-09-14,2023-09,Thursday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
142,TXN_9504987,Coffee,4,3.5,14.0,Digital Wallet,Takeaway,,,,,Newfoundland and Labrador,False,True,False,False,False,False,False,False,False,False,False
143,TXN_3190928,Refresher,1,5.0,5.0,Credit Card,In-store,2023-06-01,2023-06,Thursday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
144,TXN_5460882,Tea,3,3.0,9.0,Digital Wallet,Takeaway,2023-06-12,2023-06,Monday,Weekday,Unknown Province,False,False,False,False,False,False,False,False,True,False,False
145,TXN_3273772,Tea,2,3.0,6.0,Credit Card,In-store,2023-09-25,2023-09,Monday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
146,TXN_6311265,Refresher,2,5.0,10.0,Cash,In-store,2023-02-13,2023-02,Monday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
147,TXN_9375989,Cookie,4,2.5,10.0,Credit Card,In-store,2023-01-12,2023-01,Thursday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
148,TXN_6583982,Coffee,2,3.5,7.0,Credit Card,In-store,2023-09-10,2023-09,Sunday,Weekend,Saskatchewan,False,False,False,False,False,False,False,False,False,False,False
149,TXN_2973135,Donut,3,2.0,6.0,Credit Card,In-store,2023-03-31,2023-03,Friday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
150,TXN_7220842,Cookie,2,2.5,5.0,Digital Wallet,Takeaway,2023-03-31,2023-03,Friday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
151,TXN_6822557,Cookie,1,2.5,2.5,Digital Wallet,In-store,2023-04-25,2023-04,Tuesday,Weekday,British Columbia,False,False,False,False,False,False,False,False,False,False,False
152,TXN_3059138,Cookie,2,2.5,5.0,Credit Card,In-store,2023-04-24,2023-04,Monday,Weekday,Unknown Province,False,False,False,False,False,False,False,False,True,False,False
153,TXN_9293779,Donut,4,2.0,8.0,Credit Card,Unknown Location,2023-09-06,2023-09,Wednesday,Weekday,British Columbia,False,False,False,False,False,False,False,True,False,False,False
154,TXN_8350526,Coffee,3,3.5,10.5,Cash,In-store,2023-07-11,2023-07,Tuesday,Weekday,Unknown Province,False,False,False,False,False,False,False,False,True,False,False
155,TXN_8265951,Donut,1,2.0,2.0,Cash,In-store,2023-04-06,2023-04,Thursday,Weekday,Manitoba,False,False,False,False,False,False,False,False,False,False,False
156,TXN_4805229,Sandwich,1,8.0,8.0,Cash,In-store,2023-09-25,2023-09,Monday,Weekday,Newfoundland and Labrador,False,False,False,False,False,False,False,False,False,False,False
157,TXN_2067508,Donut,2,2.0,4.0,Cash,In-store,2023-01-13,2023-01,Friday,Weekday,Saskatchewan,False,False,False,False,False,False,False,False,False,False,False
